"Дата,""Цена"",""Откр."",""Макс."",""Мин."",""Объём"",""Изм. %"""
"26.08.2020,""1.909,70"",""1.935,70"",""1.936,90"",""1.908,45"",""-"",""-0,70%"""
"25.08.2020,""1.923,10"",""1.935,90"",""1.944,10"",""1.919,10"",""274,11K"",""-0,83%"""
"24.08.2020,""1.939,20"",""1.947,90"",""1.970,30"",""1.930,80"",""286,26K"",""-0,40%"""
"21.08.2020,""1.947,00"",""1.955,60"",""1.963,10"",""1.916,60"",""355,07K"",""0,03%"""
"20.08.2020,""1.946,50"",""1.934,40"",""1.963,10"",""1.928,90"",""383,34K"",""-1,21%"""
"19.08.2020,""1.970,30"",""2.010,50"",""2.015,60"",""1.930,50"",""443,26K"",""-2,13%"""
"18.08.2020,""2.013,10"",""1.993,60"",""2.024,60"",""1.985,20"",""361,48K"",""0,72%"""
"17.08.2020,""1.998,70"",""1.956,40"",""2.000,80"",""1.939,10"",""289,44K"",""2,51%"""
"14.08.2020,""1.949,80"",""1.963,80"",""1.970,00"",""1.939,10"",""241,80K"",""-1,05%"""
"13.08.2020,""1.970,40"",""1.927,30"",""1.974,80"",""1.923,00"",""349,89K"",""1,10%"""
"12.08.2020,""1.949,00"",""1.921,60"",""1.961,00"",""1.874,20"",""459,84K"",""0,14%"""
"11.08.2020,""1.946,30"",""2.038,40"",""2.040,50"",""1.911,30"",""565,00K"",""-4,58%"""
"10.08.2020,""2.039,70"",""2.044,80"",""2.060,80"",""2.027,80"",""251,31K"",""0,58%"""
"07.08.2020,""2.028,00"",""2.076,40"",""2.089,20"",""2.024,80"",""398,13K"",""-2,00%"""
"06.08.2020,""2.069,40"",""2.055,00"",""2.081,80"",""2.049,00"",""312,76K"",""0,98%"""
"05.08.2020,""2.049,30"",""2.037,00"",""2.070,30"",""2.027,50"",""366,38K"",""1,40%"""
"04.08.2020,""2.021,00"",""1.993,50"",""2.037,70"",""1.982,60"",""274,42K"",""1,75%"""
"03.08.2020,""1.986,30"",""1.997,40"",""2.009,50"",""1.975,20"",""178,75K"",""0,02%"""
"31.07.2020,""1.985,90"",""1.973,60"",""2.005,40"",""1.971,40"",""279,32K"",""0,97%"""
"30.07.2020,""1.966,80"",""1.986,40"",""1.987,30"",""1.952,30"",""271,38K"",""-0,50%"""
